from_stop_id,to_stop_id,transfer_type,min_transfer_time
11739021653,12626357384,2,240
12626357388,12626357398,2,480
11711326974,11739064594,2,180
11739064594,11711326974,2,180
11711326974,11735248675,2,240
11735248675,11711326974,2,240
1849525838,11735248675,2,240
11735248675,1849525838,2,240
11711275743,10778322188,2,360
10778322188,11711275743,2,360
11707031622,11707031623,2,60
11707031623,11707031622,2,60
11707031622,11707031601,2,240
11707031601,11707031622,2,240
11707031622,10815723012,2,240
10815723012,11707031622,2,240
5355897678,11707031601,2,120
11707031601,5355897678,2,120
5355897678,11739021647,2,60
11739021647,5355897678,2,60
11262097619,29354702,2,180
29354702,11262097619,2,180
11262097619,1013407725,2,290
1013407725,11262097619,2,290
5825243776,11739021634,2,240
11739021634,5825243776,2,240
11739021639,10778322188,2,100
10778322188,11739021639,2,100
11739021644,11739021654,2,110
11739021654,11739021644,2,110
11707031623,11707031601,2,240
11707031601,11707031623,2,240
11707031623,10815723012,2,240
10815723012,11707031623,2,240
